This is a log file of a temperature control run being done in Physics 3600 for the bug experiment. It records the time, temperature, power, and control setting for each PID update. It does so by accumulating the data and periodically saving it.

10/29/2020
1:30 PM

Time (ms)	Temp (C)	Power	Setpoint	CB	Itime	Ion	Dtime	Don	SB	Stime	Time in SB	Settled	Man Pow	Man on

<data below>
0.033	31.661	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
0.375	31.644	0.085	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
0.714	31.631	0.085	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
1.055	31.616	0.080	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
1.389	31.610	0.078	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
1.734	31.601	0.071	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
2.085	31.594	0.067	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
2.426	31.586	0.061	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
2.766	31.579	0.057	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
3.106	31.579	0.051	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
3.439	31.575	0.044	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
3.779	31.569	0.039	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
4.115	31.564	0.034	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
4.460	31.558	0.028	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
4.798	31.554	0.023	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
5.137	31.551	0.018	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
5.484	31.545	0.011	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
5.821	31.536	0.007	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
6.161	31.536	0.003	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
6.508	31.528	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
6.848	31.519	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
7.198	31.515	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
7.541	31.504	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
7.880	31.496	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
8.217	31.487	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
8.557	31.481	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
8.897	31.466	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
9.235	31.459	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
9.574	31.446	0.000	30.000	4.000	20.000	1.000	0.200	1.000	1.000	60.000	0.000	0.000	0.000	0.000
