This is a log file of a temperature control run being done in Physics 3600 for the bug experiment. It records the time, temperature, power, and control setting for each PID update. It does so by accumulating the data and periodically saving it.

11/22/2020
10:08 AM

Time (ms)	Temp (C)	Power	Setpoint	CB	Itime	Ion	Dtime	Don	SB	Stime	Time in SB	Settled	Man Pow	Man on

<data below>
10.617	23.492	0.943	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
10.851	23.628	0.946	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
11.085	23.759	0.944	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
11.316	23.894	0.945	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
11.549	24.030	0.943	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
11.786	24.166	0.943	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
12.020	24.300	0.944	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
12.259	24.441	0.944	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
12.495	24.579	0.942	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
12.728	24.715	0.943	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
12.958	24.853	0.943	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
13.196	24.995	0.941	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
13.431	25.134	0.942	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
13.667	25.277	0.942	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
13.914	25.423	0.941	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
14.146	25.562	0.942	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
14.385	25.704	0.941	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
14.622	25.849	0.942	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
14.857	25.986	0.940	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
15.094	26.130	0.943	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
15.330	26.276	0.941	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
15.569	26.418	0.939	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
15.805	26.561	0.942	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
16.050	26.710	0.941	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
16.280	26.850	0.940	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
16.526	26.997	0.940	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
16.764	27.143	0.941	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
17.014	27.291	0.940	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
17.269	27.446	0.942	30.000	1.000	10.000	1.000	0.100	1.000	0.200	60.000	0.000	0.000	0.000	0.000
